author,title,isbn,dept_course
ABBOTT,END OF EVERYTHING,9780316097826,"['ENGH 497', 'ENGH 513']"
ABDELRAZAQ,BADDAWI,9781935982401,['ENGH 201']
ABOUL-ENEIN,MILITANT ISLAMIST IDEOLOGY,9781591140702,['CONF 345']
ACEMOGLU,WHY NATIONS FAIL,9780307719218,['ECON 360']
ACEMOGLU,WHY NATIONS FAIL,9780307719225,['GOVT 467']
ACHEBE,THINGS FALL APART,9780385474542,['HNRS 230']
ACKER,CRIMINAL PROCEDURE,9781449652340,['CRIM 424']
ACKERMAN,METEOROLOGY:UNDERSTANDING...-W/ACCESS,9781284030808,['GGS 309']
ACKERMAN,NATURAL HISTORY OF THE SENSES,9780679735663,['AVT 307']
ADAMKEWICZ,BIOL 311:GENETICS LAB MAN >C<,9780738069449,['BIOL 311']
ADAMS,MESOAMERICA P 2(CAMB HIST /NTV PEOPLE V2,9780521652049,['ANTH 396']
ADAMS,"OLD DOMINION,INDUSTRIAL COMMONWEALTH",9780801894008,['HIST 615']
ADAMS,VANDEGRAAFF'S PHOTO.ATLAS F/BIOLOGY LAB,9781617310584,['BIOL 330']
ADENDORFF,WELCOME TO COMPUTERS F/ESL STUD....,9781591367949,['AE 022']
ADENDORFF,WELCOME TO COMPUTERS F/ESL STUD..-WKBK.,9781591367956,['AE 022']
ADGER,CORE SYNTAX:MINIMALIST APPROACH,9780199243709,"['LING 486', 'LING 786']"
ADICHIE,AMERICANAH,9780307455925,['ENGH 204']
ADICHIE,THING AROUND YOUR NECK,9780307455918,['ENGH 201']
ADICHIE,WE SHOULD ALL BE FEMINISTS,9781101911761,['HNRS 130']
ADIGA,WHITE TIGER,9781416562603,"['EDCI 479', 'EDCI 669']"
ADKINS,EVOLUTION OF POLITICAL PARTIES CAMPAIGN,9780872895782,['GOVT 312']
ADLER,COMMUNICATING AT WORK,9780078036804,"['COMM 320', 'FM 200']"
ADLER,COMMUNICATING AT WORK (LOOSELEAF),9780077649289,"['COMM 320', 'FM 200']"
ADLER-KASSNER,NAMING WHAT WE KNOW,9780874219890,"['ENGH 488', 'ENGH 697']"
ADORNI,ENGLISH GRAMMAR FOR STUDENTS OF ITALIAN,9780934034401,['ITAL 110']
AESCHYLUS,AESCHYLUS I/ORESTEIA,9780226307787,"['CLAS 350', 'PHIL 253']"
AGAMBEN,HOMO SACER,9780804732185,"['GOVT 520', 'HIST 535', 'HIST 615', 'HIST 635']"
AGAMBEN,TIME THAT REMAINS,9780804743839,"['GOVT 327', 'GOVT 731']"
AGGARWAL,DATA MINING:THE TEXTBOOK,9783319141411,['GGS 787']
AGRAN,EQUITY+FULL PARTICIPATION F/INDIV...,9781598572704,"['EDSE 447', 'EDSE 547']"
AGRANOFF,COLLABORATING TO MANAGE,9781589019164,['PUAD 703']
AGRESTI,INTRO.TO CATEGORICAL DATA ANALYSIS,9780471226185,['STAT 560']
AIKEN,WORLD HUNGER+MORALITY,9780134482842,['PHIL 309']
AKERLOF,IDENTITY ECONOMICS,9780691152554,['ECON 370']
AKHTAR,DISGRACED,9780822230427,"['THR 381', 'THR 480']"
AKSYONOV,GENERATIONS OF WINTER,9780679761822,['HIST 329']
AL ASWANY,YACOUBIAN BUILDING:A NOVEL,9780060878139,['ENGH 513']
ALBANESE,PROFESSIONAL ETHICS IN CRIMINAL JUSTICE,9780131375659,['CRIM 306']
ALBERTO,APPLIED BEHAVIOR ANALYSIS FOR TEACHERS,9780132655972,"['EDSE 402', 'EDSE 502']"
ALBOM,TUESDAYS WITH MORRIE,9780767905923,['PRLS 210']
ALCOFF,"IDENTITIES:RACE,CLASS,GENDER,+....",9780631217237,['GOVT 414']
ALDERMAN,MOTIVATION FOR ACHIEVEMENT,9780805860481,['EDEP 551']
ALDRETE,DAILY LIFE IN THE ROMAN CITY,9780806140278,"['ARTH 311', 'HIST 388']"
ALENCAR,IRACEMA,9780195115482,['HIST 272']
ALEXANDER,AMERICAN PUBLIC SCHOOL LAW,9780495910497,['EDLE 612']
ALEXANDER,FUNDAMENTALS OF ELECTRIC CIRCUITS,9780073380575,"['ECE 285', 'ECE 286']"
ALEXANDER,NEW DIMENSIONS IN WOMEN'S...-W/ACCESS,9781449698133,['HEAL 327']
ALEXANDER,NEW JIM CROW,9781595586438,['NCLC 475']
ALLEN,COMPLETE Q+A JOB INTERVIEW BOOK,9780471651253,"['SOCI 480', 'SPMT 475']"
ALLEN,CRITICAL INQUIRY FRAMEWORK F/K-12...,9780807753941,['EDUC 623']
ALLEN,"ESSEN.ELEM.F/STRINGS,BK.1:TCHR.+CD+CODE",9780634038167,['MUSI 361']
ALLISON,LEE KUAN YEW,9780262019125,['GOVT 322']
ALLOWAY,SNIFFY VIRTUAL RAT:PRO VERSION 3.0-W/CD,9781111726256,['PSYC 304']
ALLPORT,NATURE OF PREJUDICE,9780201001792,['CONF 310']
ALMEIDA,MOBILIZING DEMOCRACY,9781421414096,"['SOCI 660', 'SOCI 860']"
AL-SHAYKH,STORY OF ZAHRA,9780385472067,['ENGH 513']
ALTHAUS,COLLECTIVE PREFERENCES IN DEMOCRATIC...,9780521527873,['ECON 854']
ALTHEIDE,QUALITATIVE MEDIA ANALYSIS,9781452230054,['EDRS 797']
ALVESSON,CONSTRUCTING RESEARCH QUESTIONS,9781446255933,['EDUC 815']
AM F BLIND,WHEN YOU HAVE VISUALLY IMPAIRED STD PKG,9780891288015,"['EDSE 411', 'EDSE 511']"
AM.COLL.SPORT,ACSM'S GUIDELINES F/EXER..(SP),9781609136055,['RHBS 390']
AM.COLL.SPORT,ACSM'S GUIDELINES F/EXER...(PB),9781609139551,['KINE 370']
AM.COLL.SPORT,ACSM'S RESOURCE MAN.F/GUIDE.F/EXER...,9781609139568,['KINE 330']
AM.EDUC.RESRCH,STANDARDS FOR EDUCATIONAL+PSYCH.TESTING,9780935302356,['EDRS 630']
AM.INST.GRAPH.,AIGA PROFESS.PRACT.IN GRAPHIC DESIGN,9781581155099,"['AVT 413', 'AVT 519']"
AM.PSYCH.ASSN.,PUBL.MAN.OF AM.PSYCH.ASSOC.(2ND+PRTG),9781433805615,"['ECED 406', 'ECED 506', 'EDCD 601', 'EDCD 602', 'EDCI 516', 'EDCI 776', 'EDLE 620', 'EDLE 690', 'EDRS 810', 'EDRS 821', 'EDSE 402', 'EDSE 501', 'EDSE 503', 'EDSE 590', 'EDSE 623', 'EDUC 537', 'EDUC 615', 'HHS 818', 'NURS 457', 'NURS 465', 'NURS 665', 'NURS 749', 'NURS 757', 'NURS 758', 'PSYC 301', 'SOCW 624']"
AM.PSYCH.ASSN.,PUBLICATION MANUAL OF AM.PSYCH.ASSOC.,9781557987914,['EDPD 501']
AM.PSYCHIA.,DIAG.+STAT.MAN.OF MENTAL DISORD.:DSM-5,9780890425541,['EDCD 656']
AMERICAN CANOE,ESSENTIALS OF RIVER KAYAKING,9780897325868,['PRLS 170']
AMINZADE,"RACE, NATN+CITIZNSHP IN POST-COLNIAL AFR",9781107622364,['SOCI 860']
AMMANN,INTRODUCTION TO SOFTWARE TESTING,9780521880381,"['SWE 437', 'SWE 637']"
AMMON,SPORT FACILITY MGMT.:ORGAN.EVENTS...,9781935412076,['SPMT 405']
AMOORE,POLITICS OF POSSIBILITY,9780822355601,['GOVT 520']
AMOS,THESE WERE THE GREEKS,9780802312754,['CLAS 260']
ANDERSEN,"RACE,CLASS+GENDER",9781305093614,['GOVT 414']
ANDERSON,ACTIVE SKILLS FOR READING:BOOK 1,9781133307990,['AE 030']
ANDERSON,ACTIVE SKILLS FOR READING:BOOK 2,9781133308034,['AE 040']
ANDERSON,ACTIVE SKILLS FOR READING:BOOK 3,9781133308065,['AE 050']
ANDERSON,ACTIVE SKILLS FOR READING:BOOK 4,9781133308096,['AE 060']
ANDERSON,ACTIVE SKILLS FOR READING:INTRO,9781133308126,['AE 020']
ANDERSON,CASE STUDIES IN MICROBIOLOGY,9780470631225,['BIOL 404']
ANDERSON,COSMOPOLITAN CANOPY,9780393340518,['SOCI 332']
ANDERSON,ESSEN.OF STATISTICS F/BUSINESS+ECON(CL),9781133629658,"['BUS 210', 'BUS 310', 'OM 210']"
ANDERSON,ESSEN.OF STATISTICS F/BUSINESS+ECON(LL),9781305081598,"['BUS 210', 'BUS 310', 'OM 210']"
ANDERSON,IMAGINED COMMUNITIES,9781844670864,['GOVT 741']
ANDERSON,INTERNATIONAL STUDIES,9780813349329,['NCLC 303']
ANDERSON,OPERATING SYSTEMS,9780985673529,"['CS 471', 'CS 571']"
ANDRESS,BASICS OF INFORMATION SECURITY,9780128007440,['CYSE 101']
ANDREWS,CLASSIC AMERICAN AUTOBIOGRAPHIES,9780451471444,['HNRS 130']
ANHEIER,"NONPROFIT ORGANIZATIONS THEORY,MGMT.+..",9780415550475,['PUAD 505']
ANOUILH,"FIVE PLAYS,V.1",9780374522292,['THR 496']
ANSELL,VIROID LIFE:PERSPECTIVES ON NIETZSCHE+,9780415154352,['GOVT 327']
ANTOON,I'JAAM:IRAQI RHAPSODY,9780872864573,['ARAB 325']
APPLEGATE,CORPORATE INFO.STRAT.+MGMT.:TEXT+CS.,9780073402932,['MIS 411']
ARDITTI,FAMILY PROBLEMS,9781118348284,['HDFS 300']
ARENDT,EICHMANN IN JERUSALEM,9780143039884,['HIST 388']
ARENDT,HUMAN CONDITION,9780226025988,['SOCI 712']
ARIEW,MODERN PHILOSOPHY,9780872209787,['PHIL 303']
ARISTOTLE,NICOMACHEAN ETHICS,9780199213610,['PHIL 100']
ARISTOTLE,POETICS,9780140446364,['PHIL 253']
ARNETT,ADOLESCENCE+EMERGING ADULTHOOD,9780205892495,['PSYC 314']
ARNETT,ADOLESCENCE+EMERGING ADULTHOOD (LOOSE),9780205899517,['PSYC 314']
ARON,AMERICAN CONFLUENCE,9780253200112,['HIST 620']
ARONSON,SOCIAL PSYCHOLOGY (LOOSELEAF),9780134012391,['PSYC 231']
ARONSON,SOCIAL PSYCHOLOGY-TEXT,9780133936544,['PSYC 231']
ARREGUIN-TOFT,HOW THE WEAK WIN WARS,9780521548694,['GOVT 744']
ASCA,ASCA NATIONAL MODEL:FRAMEWORK...,9781929289325,"['EDCD 755', 'EDCD 791']"
ASGEDOM,OF BEETLES+ANGELS,9780316826204,['EDRD 610']
ASHLEY,FUND.OF APPLIED ECONOMETRICS,9780470591826,['ECON 345']
ASSOC.PRESS,ASSOC.PR.STYLEBOOK+BRIEFING ON...2015,9780465062942,['COMM 303']
ASSOC.PRESS,ASSOC.PR.STYLEBOOK+BRIEFING ON...2015,9780917360619,"['COMM 351', 'COMM 370', 'COMM 391']"
ATKIN,EVERYDAY ASSESSMENT IN SCIENCE CLASS...,9780873552172,"['EDCI 473', 'EDCI 573']"
ATKINSON,DYNAMIC DOMINION,9780742552098,['PUAD 651']
ATWATER,SPORT INDUSTRY READINGS >CUSTOM<,9781284001983,['SPMT 201']
ATWOOD,WAR+EMPIRE,9780745327648,['NCLC 422']
AUGUSTINE,KRAZY,9780990666912,"['ENGH 497', 'ENGH 608']"
AUNER,ANTHOLOGY F/MUSIC IN 20TH+21ST CENT.,9780393920215,['MUSI 438']
AUNER,MUSIC IN 20TH+21ST CENTURIES,9780393929201,['MUSI 438']
AUSTEN,PERSUASION,9780393911534,['ENGH 400']
AUSTEN-SMITH,POSITIVE POLITICAL THEORY I,9780472087211,['ECON 826']
AUSTIN,HANDBOOK OF APPLIES BEHAVIOR ANALYSIS,9781878978349,['EDSE 624']
AUSTIN,THERAPEUTIC RECREATION:PROC.+TECH.,9781571677518,['PRLS 417']
AXELROD,EVOLUTION OF COOPERATION,9780465005642,['GOVT 322']
AYERS,TO TEACH:JOURNEY OF A TEACHER,9780807750636,['EDUC 300']
AZAR,BASIC ENGLISH GRAMMAR-VOL.B-W/AUDIO CD,9780132942287,['AE 030']
AZEVEDO,SLUM,9780195121872,['HNRS 230']
AZZARELLO,"WONDER WOMAN,VOL.1:BLOOD",9781401235628,['ENGH 202']
BABBIE,BASICS OF SOCIAL RESEARCH,9781305503076,['SOCI 303']
BACH,HARMONIZED CHORALES FOR KEYBOARD,9780486445496,['MUSI 116']
BACHMAN,FUND.OF RESEARCH IN CRIMINOLOGY...,9781483333458,['CRIM 315']
BACHMAN,PRACT.OF RESRCH.IN CRIMINOLOGY+...,9781452258195,['CRIM 315']
BACKER,PEACE+CONFLICT 2014,9781612054360,['CONF 340']
BACON,"MAJOR WORKS,INCL.NEW ATLANTIS..(40799)",9780199540792,['ENGH 325']
BADIOU,SAINT PAUL:FOUNDATION OF UNIVERSALISM,9780804744713,"['GOVT 327', 'GOVT 731']"
BADKE,BEYOND THE ANSWER SHEET,9780595271962,"['PROV 501', 'PROV 502', 'PROV 504']"
BADMINGTON,ROUTLEDGE CRITICAL+CULTURAL THEORY RDR.,9780415433099,['ENGH 318']
BAGLIONE,WRITING RESEARCH PAPER IN POL.SCIENCE,9781483376165,['GOVT 300']
BAI,BEYOND THE BASICS,9780887276231,['CHIN 481']
BAILEY,25 ESSENTIAL SKILLS+STRAT.F/PROFESS...,9780415800686,"['EDSE 464', 'EDSE 664']"
BAILEY,ETHICS FOR BEHAVIOR ANALYSTS,9780415880305,['EDSE 664']
BAKER,FOUND.OF BILINGUAL EDUC.+BILINGUALISM,9781847693556,['EDCI 516']
BAKER,FUNDAMENTALS OF SPORT MANAGEMENT,9780736091084,['SPMT 201']
BAKER,NAT TURNER,9780810972278,['ENGH 302']
BALDWIN,FIRE NEXT TIME,9780679744726,['HIST 336']
BALDWIN,GIOVANNI'S ROOM,9780345806567,['ENGH 201']
BALES,SLAVE NEXT DOOR,9780520268661,['SOCW 653']
BALL,BACKWARDS+FORWARDS,9780809311101,"['THR 381', 'THR 480']"
BALLENGER,"CURIOUS WRITER,CONCISE ED.-TEXT",9780205876648,['ENGH 101']
BALLENGER,CURIOUS WRITER-TEXT,9780205235773,['ENGH 101']
BALTZAN,M:INFORMATION SYSTEMS-W/CONNECTPLUS,9781259289873,['MBUS 302']
BALTZMAN,MIS 301:INTRO TO BUS INFO SYST EBK ACCSS,9781308169248,"['MIS 301', 'MIS 303']"
BALZ,COLLISION 2012,9780670025947,"['COMM 412', 'GOVT 412']"
BANERJEE,POOR ECONOMICS,9781610390934,"['ECON 360', 'GLOA 450', 'GLOA 599']"
BANKS,CRIMINAL JUSTICE ETHICS,9781412995450,['CRIM 306']
BANKS,DISCRETE-EVENT SYSTEM SIMULATION,9780136062127,"['OM 435', 'OR 335', 'SYST 335']"
BANKS,MULTICULTURAL EDUCATION,9781118360088,['EDUC 537']
BARAN,MASS COMMUNICATION THEORY,9781285052076,['COMM 302']
BARCZEWSKI,BRITAIN SINCE 1688,9780415506601,['HIST 322']
BARDACH,PRACTICAL GUIDE FOR POLICY ANALYSIS,9781483359465,['GCH 645']
BARKER,PHILOSOPHY OF SCIENCE,9780195366198,['PHIL 371']
BARKER,PRINCIPLES OF AMBULATORY MEDICINE,9780781762274,['NURS 749']
BARNAS,BEYOND HEROES,9780984884827,['NURS 688']
BARNES,DEATH+REDEMPTION,9780691151120,"['HIST 535', 'HIST 615', 'HIST 635']"
BARNES,GREAT STINK OF PARIS+19TH CENT.STRUGGLE,9780801883491,['HIST 635']
BARNES,RESTLESS EMPIRE,9780674504677,['HIST 328']
BARNHILL,DEEP ECOLOGY+WORLD RELIGIONS,9780791448847,"['RELI 420', 'RELI 636']"
BARON,ESCAPING THE IVORY TOWER,9781597266642,"['EVPP 490', 'EVPP 505']"
BAROT,CHORD,9781941411032,['ENGH 397']
BARR,BUDGETS+FINANCIAL MGMT.IN HIGHER EDUC.,9780470616208,['CTCH 624']
BARRETT,FOOD AID AFTER FIFTY YEARS,9780415701259,"['HNRS 131', 'HNRS 230']"
BARRY,ARCHAEOLOGY OF MEDIEVAL IRELAND,9780415011044,"['ARTH 303', 'HIST 388']"
BARRY,ENGLISH GRAMMAR,9780205238460,"['LING 307', 'LING 522']"
BARRY,GREAT INFLUENZA,9780143036494,['GCH 320']
BARRY,WHY SOCIAL JUSTICE MATTERS,9780745629933,['GOVT 490']
BARTHES,MYTHOLOGIES,9780809071944,['ENGH 318']
BARTOL,CRIMINAL BEHAVIOR:PSYCHOLOGICAL APPR.,9780132973199,['PSYC 405']
BASTIAT,ECONOMIC SOPHISMS,9781503113374,['ECON 385']
BATEMAN,BETTER IEPS,9781578615681,"['EDSE 662', 'EDUC 592']"
BATEMAN,M:MANAGEMENT,9780077862596,"['MBUS 301', 'MGMT 312', 'PRLS 410']"
BATEMAN,M:MANAGEMENT-CONNECT ACCESS (1 SEM.),9781259301605,['MBUS 301']
BATEMAN,M:MANAGEMENT-TEXT,9780078029523,['MGMT 312']
BATEMAN,M:MANAGEMENT-W/ACCESS,9781259678165,['MBUS 301']
BATSHAW,CHILDREN WITH DISABILITIES,9781598571943,"['ECED 406', 'ECED 506']"
BATTY,WRITING FOR THE SCREEN,9780230550759,['FAVS 280']
BAUER,FROM SUBSISTENCE TO EXCHANGE+OTHER...,9780691117829,['ECON 385']
BAUER,USING RESEARCH TO LEAD SCHOOL...,9781412974059,['EDLE 690']
BAUMAN,VERBAL ART AS PERFORMANCE,9780881330489,"['ENGH 591', 'ENGH 681']"
BAUMAN,VOICES OF MODERNITY,9780521008976,['ENGH 681']
BAUMAN,WORLD OF OTHERS WORDS,9781405116053,['ENGH 591']
BAXTER,COMPLETE CRIME SCENE INVESTIGATION HDBK,9781498701440,['FRSC 511']
BAYOR,RACE+SHAPING OF TWENTIETH-CENT.ATLANTA,9780807848982,['GGS 312']
BAYOUMI,HOW DOES IT FEEL TO BE A PROBLEM?,9780143115410,['HNRS 130']
BEACHY-QUICK,SHIELDS+SHARDS+STITCHES+ SONG,9781632430076,['ENGH 608']
BEAH,LONG WAY GONE (PB),9780374531263,['ENGH 201']
BEAN,ENGAGING IDEAS,9780470532904,['ENGH 615']
BEAR,NEUROSCIENCE:EXPLORING BRAIN-W/ACCESS,9780781778176,['PSYC 376']
BEAR,WORDS THEIR WAY-W/ACCESS,9780133996333,"['EDCI 555', 'EDCI 556']"
BEARD,BOYS OF MY YOUTH,9780316085250,['ENGH 399']
BEATTY,BUSINESS LAW+LEGAL ENVIRONMENT:STAND.ED,9781285860381,['BULE 402']
BEAUVOIR,ETHICS OF AMBIGUITY,9781480442801,['PHIL 336']
BECHDEL,ARE YOU MY MOTHER?,9780544002234,['ENGH 685']
BECHDEL,FUN HOME:FAMILY TRAGICOMIC,9780618871711,"['ENGH 201', 'ENGH 309', 'ENGH 432', 'ENGH 645']"
BECKER,WRITING FOR SOCIAL SCIENTISTS,9780226041322,['EDRS 824']
BECKETT,WAITING FOR GODOT,9780802144423,['PHIL 253']
BEDFORD,ART OF MUSEUM EXHIBITIONS,9781611323115,['HIST 691']
BEEBE,CASES IN INTELLIGENCE ANALYSIS,9781483340166,['CRIM 312']
BEECHING,BEYOND TALENT:CREATING SUCCESSFUL...,9780195382594,['MUSI 491']
BEEVOR,STALINGRAD:THE FATEFUL SIEGE:1942-1943,9780140284584,['HIST 388']
BEHN,OROONOKO,9780140439885,['ENGH 325']
BEHRENS,WRITING+READING ACROSS CURRICULUM,9780133999013,['ENGH 302']
BEIDEL,ABNORMAL PSCYHOLOGY:DSM 5-W/ACCESS,9780205968244,['PSYC 325']
BEIDEL,ABNORMAL PSYCH.(LL)-W/MYPSYCHLAB,9780205972760,['PSYC 325']
BEIDEL,ABNORMAL PSYCHOLOGY:DSM 5,9780205966547,['PSYC 325']
BEIDEL,ABNORMAL PSYCHOLOGY-MYPSYCHLAB ACCESS,9780205968350,['PSYC 325']
BEIRHORST,CODEX CHIMALPOPOCA,9780816502455,['RELI 235']
BEJTLICH,PRACTICE OF NETWORK SECURITY MONITORING,9781593275099,"['CFRS 660', 'TCOM 660']"
BEKOFF,ANIMAL MANIFESTO,9781577316497,['NCLC 337']
BELCH,ADVERTISING+PROMOTION,9780078028977,['MKTG 313']
BELCH,ADVERTISING+PROMOTION (LOOSELEAF),9780077512613,['MKTG 313']
BELCHER,WRITING YOUR JOURNAL ARTICLE IN 12 WKS.,9781412957014,['BIOD 790']
BELKIN,"FIRST,DO NO HARM",9780449222904,['HAP 310']
BELL,FORENSIC CHEMISTRY,9780321765758,"['FRSC 304', 'FRSC 540']"
BELL,NARRATIVE DESIGN,9780393320213,['ENGH 398']
BELLAMY,CITIZENSHIP:VERY SHORT INTRODUCTION,9780192802538,"['GOVT 101', 'GOVT 490']"
BELLOW,SEIZE THE DAY,9780142437612,['ENGH 355']
BELOBABA,GLOBAL AIRLINE INDUSTRY,9781118881170,"['OR 750', 'SYST 461', 'SYST 660']"
BEMBENUTTY,APPLICATIONS OF SELF-REGULATED LEARN...,9781623961329,['EDEP 654']
BENDIS,ROAD TO CIVIL WAR,9780785119746,['ENGH 302']
BENDIX,IN SEARCH OF AUTHENTICITY,9780299155445,['ENGH 681']
BENNETT,COSMC PERSP:SOL SYSW/STRGZR+MSTRAST+LEC,9780321950345,['ASTR 113']
BENNETT,COSMIC PERSP.(LOOSE)W/MAST.ASTRO.ACCESS,9780321840950,['ASTR 113']
BENNETT,COSMIC PERSPECT.:STARS+GALAXIES-TEXT,9780321841070,['ASTR 113']
BENNETT,COSMIC PERSPECTIVE,9780321839558,['ASTR 113']
BENNETT,LIFE IN THE UNIVERSE-W/ACCESS,9780321687678,['HNRT 228']
BENNETT,LIFE IN THE UNIVERSE-W/ACCESS+ACT.MAN.,9780321777997,['HNRT 228']
BENNETT,MATH 271/2:MATH F/ELEM TCHER+MANIP KIT,9781259389405,['MATH 272']
BENNETT,READING CONNECTIONS 3-TEXT,9781111348649,['AE 033']
BENNETT,RHYTHMIC ACTIVITIES+DANCE-W/CD,9780736051484,['PHED 274']
BENNETT-ALEXAN,EMPLOYMENT LAW FOR BUSINESS,9780073524962,['MGMT 431']
BENSLEY,COMMUNITY HEALTH EDUCATION METHODS,9780763755331,['HEAL 372']
BENSON,CHINA SINCE 1949,9781408237694,['HIST 358']
BERGER,FOR ALL THE WORLD TO SEE,9780300121315,['AFAM 200']
BERGER,SHADOW LIVES,9780745333267,['HNRS 130']
BERGER,SOCIAL CONSTRUCT.OF REALITY(LRG.FORMAT),9780385058988,"['GLOA 720', 'SOCI 412']"
BERGER,SOUTH AFRICA IN WORLD HISTORY,9780195337938,['HNRS 130']
BERGMAN,FUND.OF HEAT+MASS TRANSFER,9780470501979,['ME 323']
BERGMAN,FUND.OF HEAT+MASS TRANSFER (LOOSELEAF),9780470917855,['ME 323']
BERGMAN,IN THE GROOVE:FORM&FUNC IN POP MUS-LSLF,9781621314820,['MUSI 102']
BERGSTROM,WORKOUTS IN INTERM.MICROECON.T/A VARIAN,9780393922615,['ECON 306']
BERK,DEVELOPMENT THROUGH LIFESPAN,9780205957606,['PSYC 211']
BERK,DEVELOPMENT THROUGH LIFESPAN(LOOSELEAF),9780205958696,['PSYC 211']
BERK,EXPLORING LIFESPAN DEV.(LOOSE)-W/ACCESS,9780205968978,['EDUC 302']
BERK,EXPLORING LIFESPAN DEVEL.-ETEXT ACCESS,9780205958955,['EDUC 302']
BERK,EXPLORING LIFESPAN DEVELOPMENT,9780205957385,['EDCD 525']
BERK,EXPLORING LIFESPAN DEVELOPMENT-W/ACCESS,9780205968961,['EDUC 302']
BERKELEY,MAXIMIZING EFFECT.READ.COMPREHENSION...,9781598573060,"['EDSE 403', 'EDSE 503']"
BERKOWITZ,NEW APPROACH TO SIGHT SINGING,9780393911503,"['MUSI 113', 'MUSI 213']"
BERNARD,INTRODUCTION TO ENTERPRISE ARCHITECTURE,9781477258002,['INFS 774']
BERNS,"CHILD,FAMILY,SCHOOL,COMMUNITY",9781305088979,['NCLC 316']
BERNSTEIN,BURNING DOWN THE HOUSE,9781620971314,['CONF 330']
BERNSTEIN,LEGAL&BUSINESS ESSNTS ALL FILMMAKERS ...,9781138775794,['FAVS 250']
BERRIDGE,DIPLOMACY:THEORY+PRACTICE,9781137445513,['GOVT 342']
BERRY,COMPLETE POMPEII,9780500051504,"['ARTH 311', 'HIST 388']"
BERRY,UNDERSTANDING REGRESSION ASSUMPTIONS,9780803942639,"['PSYC 754', 'PSYC 892']"
BERRYMAN,LIBERATION THEOLOGY,9780394746524,['RELI 320']
BERTOLOTTI,REAL-TIME EMBEDDED SYSTEMS,9781439841549,['ECE 612']
BERTSEKAS,INTRODUCTION TO PROBABILITY,9781886529236,['ECE 528']
BESLEY,PRINCIPLED AGENTS?,9780199283910,['ECON 826']
BEUKELMAN,AUGMENTATIVE+ALTERNATIVE COMMUNICATION,9781598571967,"['EDAT 421', 'EDAT 521', 'EDSE 434', 'EDSE 534']"
BHATTACHARYA,HEALTH ECONOMICS,9781137029966,['HAP 425']
BHATTACHARYYA,STATISTICAL CONCEPTS+METHODS,9780471072041,['STAT 554']
BIAGIOLI,GALILEO COURTIER,9780226045603,['HIST 643']
BIBER,LONGMAN STUD.GRAMMAR OF SPOKEN+...ENG.,9780582237261,['EDCI 510']
BIBLE,HARPERCOLLINS STUDY BIBLE-NRSV-REV.+UPD,9780060786847,['RELI 211']
BIBLE,"HOLY BIBLE,KING JAMES VERSION",9780804109062,['PHIL 253']
BICKFORD,FALLEN ELITES,9780804773966,['CULT 860']
BIDDLE,MILITARY POWER,9780691128023,['GOVT 744']
BIEHL,VITA:LIFE IN A ZONE...W/AFTERWARD,9780520272958,['GCH 320']
BIERHORST,HISTORY+MYTHOLOGY OF AZTECS,9780816518869,['RELI 235']
BIKO,I WRITE WHAT I LIKE:SELECTED WRITINGS,9780226048970,['HNRS 130']
BILLINGS,COMMUNICATION+SPORTS,9781452279138,['SPMT 430']
BIRN,TEXTBOOK OF INTERNATIONAL HEALTH,9780195300277,['GCH 450']
BISHOP,COMPUTER SECURITY:ART+SCIENCE,9780201440997,['ISA 562']
BISHOP,GEOGRAPHY III,9780374530655,['ENGH 310']
BISHOP,PATTERN RECOGNITION+MACHINE LEARNING,9780387310732,['CS 688']
BLACKWELL,GUIA BASICA DE LA CRITICA LITERARIA Y..,9781413014686,['SPAN 390']
BLACKWOOD,FALLING INTO THE LESBI WORLD,9780824834876,"['WMST 450', 'WMST 550']"
BLAIR,ACTIVE LIVING EVERY DAY-W/ALED ACCESS,9780736092227,['PHED 175']
BLANCHARD,SYSTEMS ENGINEERING+ANALYSIS,9780132217354,['SYST 330']
BLANCHARD,WRITING POWER 1,9780132314848,['AE 015']
BLANCO,AVENTURAS LSLF+SS ACC+WSAM ACC >IP<,9781618576538,"['SPAN 110', 'SPAN 115', 'SPAN 210']"
BLANCO,REVISTA -W/SUPERSITE ACCESS,9781618571489,['SPAN 250']
BLAND,GRAMMAR SENSE 4-W/ACCESS,9780194489195,['AE 070']
BLANK,START UP OWNER'S MANUAL,9780984999309,['MGMT 452']
BLAU,LITERATURE WORKSHOP,9780867095401,['ENGH 610']
BLAZ,BRINGING STANDARDS F/FOREIGN LANGUAGE..,9781930556447,['EDCI 684']
BLOCH,EFFECTIVE JAVA:PROGRAMMING LANG.GDE.,9780321356680,['SWE 619']
BLOCH,STRANGE DEFEAT,9780393319118,['GOVT 744']
BLOCK,COMMUNITY:STRUCTURE OF BELONGING,9781605092775,['CONF 330']
BLOMBACH,MACGAMUT 6.2.8-USER DISC,9781886997219,['MUSI 113']
BLOOM,ISLAMIC ARTS,9780714831763,['ARTH 320']
BLOW,FIRE SHUT UP IN MY BONES,9780544570115,['HNRS 130']
BLOWER,BECOMING AMERICANS IN PARIS,9780199927586,['HIST 615']
BLUMER,SYMBOLIC INTERACTIONISM,9780520056763,['SOCI 412']
BODIE,ESSENTIALS OF INVESTMENTS,9780078034695,"['ECON 496', 'FNAN 311', 'FNAN 411']"
