author,title,isbn,dept_course
MARIE-MONIQUE,WORLD ACCORDING TO MONSANTO,9781595587091,['GCH 360']
MARIEN,PHOTOGRAPHY:CULTURAL HISTORY,9780205988945,['ARTH 350']
MARINI,PSYCH.+SOCIAL IMPACT OF ILL.+DISABILITY,9780826106551,['RHBS 620']
MARKOVITS,GAMING THE WORLD,9780691137513,['SPMT 620']
MARKS,ORIGINS OF MODERN WORLD,9781442212404,['CULT 320']
MARKSON,WITTGENSTEIN'S MISTRESS,9781564782113,['ENGH 685']
MARQUES,BRAZILIAN PORTUGUESE-ENGLISH/ENG...,9780781812399,"['PORT 110', 'PORT 210']"
MARRIS,RAMBUNCTIOUS GARDEN,9781608194544,['PHIL 343']
MARSDEN,BASIC COMPLEX ANALYSIS,9780716728771,['MATH 411']
MARSDEN,BASIC COMPLEX ANALYSIS,9781464152191,['MATH 411']
MARSHALL,RETHINKING TEACHER SUPERVISION+EVALUAT.,9781118336724,['EDLE 618']
MARTEL,LIFE OF PI,9780547848419,['RELI 235']
MARTENS,SUCCESSFUL COACHING,9781450400510,"['KINE 330', 'SPMT 210']"
MARTIN,DISCIPLINE,9780984459841,['ENGH 685']
MARTIN,INTERCULTURAL COMMUNICATION IN CONTEXTS,9780078036774,['HNRS 230']
MARTIN,INTRO.TO HUMAN SERVICES,9780205848058,['HDFS 300']
MARTIN,MID-LATITUDE ATMOSPHERIC DYNAMICS,9780470864654,['CLIM 411']
MARTIN,UNDERSTANDING TERRORISM,9781483378985,['CONF 345']
MARTINEAU,SOCIETY IN AMERICA,9780878558537,['SOCI 311']
MARX,SELECTED WRITINGS:KARL MARX,9780872202184,['CONF 210']
MASCO,THEATER OF OPERATIONS,9780822358060,['GOVT 731']
MASH,CHILD PSYCHOPATHOLOGY,9781462516681,['PSYC 617']
MASINGILA,TEACHERS ENGAGED IN RESEARCH:GRADES 6-8,9781593114992,['EDCI 666']
MASTERS,INTRO.TO ENVIRONMENTAL ENGR.+SCIENCE,9780131481930,['CEIE 355']
MASTERS,ROLE DEVELOPMENT IN PRO...-W/ACCESS,9781284078329,['NURS 336']
MATAR,IN THE COUNTRY OF MEN,9780385340434,"['ARAB 325', 'ENGH 513']"
MATHIS,HUMAN RESOURCE MANAGEMENT,9781133953104,"['MGMT 321', 'MGMT 421']"
MATHWORKS,MATLAB+SIMULINK R2014A STUDENT VERSION,9780989614023,['SYST 221']
MATSUMOTO,CULTURE+PSYCHOLOGY,9781111344931,['PSYC 379']
MATUSITZ,TERRORISM OF COMMUNICATION,9781452240282,['CONF 345']
MAUER,RACE TO INCARCERATE:GRAPHIC RETELLING,9781595585417,['NCLC 475']
MAUERER,PROFESSIONAL LINUX KERNEL ARCHITECTURE,9780470343432,['ISA 673']
MAUSS,"GIFT (TRANSLATOR,HALLS)",9780393320435,['CULT 804']
MAXFIELD,RESRCH.METHODS.F/CRIMINAL JUSTICE.....,9781285067841,['CRIM 315']
MAXWELL,17 INDISPUTABLE LAWS OF TEAMWORK,9780785274346,['GCH 691']
MAXWELL,5 LEVELS OF LEADERSHIP,9781599953632,['GCH 691']
MAXWELL,QUALITATIVE RESEARCH DESIGN,9781412981194,['EDRS 812']
MAY,AMERICAN COLD WAR STRATEGY,9780312066376,['HIST 387']
MAYER,DYNAMICS OF CONFLICT,9780470613535,['CONF 210']
MAYER,EXTRAORDINARY KNOWING,9780553382235,['PSYC 405']
MAYHEW,CONGRESS:THE ELECTORAL CONNECTION,9780300105872,['GOVT 510']
MAYHEW,DIVIDED WE GOVERN,9780300102888,['GOVT 510']
MAYUMI,TOBIRA,9784874244470,['JAPA 441']
MAZOWER,GOVERNING THE WORLD,9780143123941,['HIST 615']
MAZUMDAR,BIOFLUID MECHANICS,9789810238018,"['BENG 499', 'BENG 590']"
MAZZE,AFFLUENT CONSUMER,9780275992828,['MKTG 455']
MCALEARNEY,HEALTH SERVICES MANAGEMENT:CASES...,9781567934908,['HAP 417']
MCCADE,SPMT 201:PRIN+PRACTICE OF SPRT MGM >C<,9781284005509,['SPMT 201']
MCCANCE,PATHOPHYSIOLOGY:BIOLOGIC BASIS...,9780323088541,"['NURS 713', 'NURS 769']"
MCCARTHY,BLOOD MERIDIAN:OR EVENING REDNESS...,9780679728757,"['ENGH 204', 'ENGH 355']"
MCCARTHY,MEMORIES OF CATHOLIC GIRLHOOD,9780156586504,['ENGH 309']
MCCARTHY,NO COUNTRY FOR OLD MEN,9780307387134,"['ENGH 497', 'ENGH 513']"
MCCARTHY,ROAD,9780307387899,['ENGH 201']
MCCLAVE,STATISTICS (LOOSELEAF)-W/ACCESS,9780321828200,['STAT 350']
MCCLELLAN,ART MUSEUM FROM BOULLEE TO BILBAO,9780520251267,"['ARTH 394', 'ARTH 594']"
MCCLELLAN,DSP FIRST:MULTIMEDIA APPROACH-W/CD,9780132431712,['ECE 201']
MCCLOSKEY,ECONOMICAL WRITING,9781577660637,"['ECON 309', 'ECON 496', 'ECON 827']"
MCCONAUGHY,CLINICAL INTERVIEWS F/CHILDREN+ADOLES.,9781462508419,['PSYC 710']
MCCONNELL,HEALTH CARE MANAGER'S HUMAN RES.HDBK.,9781449657390,['HAP 392']
MCCORMAC,STRUCTURAL STEEL DESIGN,9780136079484,['CEIE 526']
MCCORMICK,DOMESTIC SOURCES OF AM.FOREIGN POLICY,9781442209619,['GOVT 344']
MCCREARY,MAKING SENSE OF NOSQL,9781617291074,['CS 504']
MCCUEN,HYDROLOGIC ANALYSIS+DESIGN,9780131424241,['CEIE 340']
MCCULLOCH,DOCUMENTARY RESEARCH,9780415272872,['EDRS 797']
MCDONALD,ALMOST HOLY PICTURE,9780822218883,"['THR 381', 'THR 480']"
MCDOUGALL,"PROMISED LAND,CRUSADER STATE",9780395901328,['GOVT 344']
MCENTIRE,DISASTER RESPONSE+RECOVERY,9781118673027,['PUAD 631']
MCEWAN,MAKING SENSE OF RESEARCH,9780761977087,['EDUC 872']
MCEWEN,THEORETICAL BASIS FOR NURSING-W/ACCESS,9781451190311,['NURS 665']
MCG CUSTOM,INTRO.TO BUS.INFO.SYSTEMS >CUSTOM<,9781308148670,"['MIS 301', 'MIS 303']"
MCG CUSTOM,PEOPLES+ORGANIZATIONS >CUSTOM<,9781121936027,['MGMT 301']
MCGIRR,SUBURBAN WARRIORS,9780691096117,['HIST 623']
MCGONIGAL,REALITY IS BROKEN,9780143120612,"['CS 225', 'GAME 230']"
MCGOVERN,UNCORKING THE PAST,9780520267985,['HNRS 230']
MCKEAGUE,BASIC MATHATICS W/EARLY INTEGERS,9781936368273,['MATH 006']
MCKEAGUE,INTERMEDIATE ALG.:CONCEPTS W/APPL.,9781936368068,['MATH 045']
MCKEAGUE,INTRODUCTORY ALGEBRA:CONC.....-W/ACCESS,9781936368082,"['MATH 008', 'MATH 044']"
MCKEE,BECOMING A RESONANT LEADER,9781422117347,['NCLC 475']
MCKENNEY,CONDUCTING EDUCATIONAL DESIGN RESEARCH,9780415618045,['EDIT 803']
MCKENZIE,INTRO.TO COMMUNITY+PUB.HEALTH-W/ACCESS,9781284036596,['GCH 300']
MCKENZIE,"PLANNING,IMPLEMENTING,+EVAL.HEALTH...",9780321788504,['GCH 411']
MCKEON,FOOD SECURITY GOVERNANCE,9780415529105,"['HNRS 131', 'HNRS 230']"
MCKEOWN-MOAK,HIGHER EDUCATION FINANCE RESEARCH,9781623964931,['CTCH 624']
MCKIBBEN,DEEP ECONOMY,9780805087222,['NCLC 210']
MCKIBBEN,GLOBAL WARMING READER,9780143121893,['EVPP 336']
MCLAUGHLIN,IMPLEMENTING CONTINUOUS QUALITY...,9780763795368,['HAP 686']
MCLAUGHLIN,STREETSMART FIN.BASICS F/NONPROFIT MGRS,9780470414996,['PUAD 660']
MCMAHON,ASSESSMENT IN SCIENCE,9781933531007,"['EDCI 473', 'EDCI 573']"
MCMILLAN,EDUCATIONAL RESEARCH,9780132596473,['EDEP 632']
MCMILLAN,FUND.OF EDUC.RSRCH.(LL)-W/ENHANC.ACCESS,9780134013497,"['EDRS 590', 'EDSE 590']"
MCMILLAN,FUND.OF EDUC.RSRCH.(LOOSELEAF),9780133579161,['EDRS 590']
MCMILLAN,FUND.OF EDUC.RSRCH.-ENHANC.ETEXT ACCESS,9780133747225,['EDRS 590']
MCMILLAN,"GAMES,STRATEGIES,+MANAGERS",9780195108033,['ECON 308']
MCNEILL,FOLKLORE RULES,9780874219050,['ENGH 315']
MCPHEE,LEVELS OF GAME,9780374515263,['HNRS 122']
MCPHERSON,WAR THAT FORGED A NATION,9780199375776,['HIST 373']
MCROBBIE,AFTERMATH OF FEMINISM,9780761970620,['WMST 330']
MCSHERRY,PREDATORY STATES,9780742536876,['HIST 387']
MCSWEEN,GEOCHEMISTRY,9780231124409,['GEOL 403']
MEADOWS,LIMITS TO GROWTH-TEXT,9781931498586,['SYST 495']
MEARSHEIMER,TRAGEDY OF GREAT POWER POLITICS-UPDATED,9780393349276,['GOVT 744']
MEEINK,AUTOBIOGRAPHY OF A RECOVERING SKINHEAD,9780979018824,['CRIM 490']
MEIER,APPLIED STAT.F/PUBLIC+NONPROFIT ADMIN.,9781285737232,"['GOVT 511', 'PUAD 511']"
MEIRELLES,DESIGN FOR INFORMATION,9781592538065,['HIST 688']
MELUCCI,PIAZZA:STUDENT ED.-W/ILRN ACCESS,9781285074818,"['ITAL 110', 'ITAL 210']"
MELVILLE,BENITO CEREMP,9781480255319,['ENGH 204']
MELVILLE,BENITO CERENO,9780312452421,['HNRS 130']
MELVILLE,MOBY DICK OR THE WHITE WHALE,9780451524553,"['ENGH 343', 'HNRS 122']"
MENGER,PRINCIPLES OF ECONOMICS,9780910884273,['ECON 103']
MERCK,MERCK MANUAL OF GERIATRICS,9780911910889,['NURS 749']
MEREDITH,PROJECT MANAGEMENT IN PRACTICE-W/ACCESS,9781118674666,['SYST 371']
MERNISSI,DREAMS OF TRESPASS,9780201489378,"['ARAB 325', 'ENGH 309', 'ENGH 513']"
MERRYMAN,CIVIL LAW TRAD.:INTRO.TO LEGAL SYS.,9780804755696,['CRIM 405']
MERTENS,PROGRAM EVALUATION THEORY+PRACTICE,9781462503155,['EDRS 820']
MERTENS,RESEARCH+EVALUATION IN EDUCATION+PSYCH.,9781452240275,['CTCH 710']
MERTLER,ADVANCED+MULTIVARIATE STAT.METHODS,9781936523092,['NURS 805']
MESSNER,SWIMMING EVERYONE,9780887253416,"['PHED 150', 'PHED 159']"
METRES,SAND OPERA,9781938584091,['ENGH 201']
METTLER,SUBMERGED STATE,9780226521657,"['GOVT 753', 'PUAD 703']"
MEYERS,APPLIED MULTIVARIATE RESEARCH,9781412988117,['EDRS 821']
MEYERS,MIKE MEYERS'COMPTIA...NETWORKS-W/CD,9780071848275,['MIS 320']
MICELI,ECONOMIC APPROACH TO LAW,9780804756709,['ECON 840']
MICHAELS,TROUBLE WITH DIVERSITY,9780805083316,['CULT 804']
MIEVILLE,CITY+CITY,9780345497529,"['ENGH 497', 'ENGH 513']"
MILGRAM,OBEDIENCE TO AUTHORITY,9780061765216,['EDRS 824']
MILL,ON LIBERTY+OTHER ESSAYS (9535736),9780199535736,['PHIL 391']
MILL,PRINCIPLES OF POLITICAL ECONOMY,9781591021513,"['ECON 481', 'ECON 820']"
MILLAR,CIVIL WAR,9780785121794,['ENGH 302']
MILLER,ART OF MESOAMERICA:FROM OLMEC TO AZTEC,9780500204146,['ARTH 204']
MILLER,BEYOND ANOVA,9780412070112,['STAT 554']
MILLER,BIG SCRUM,9780061744525,['HIST 389']
MILLER,BLACK STILL MATTERS IN MARKETING,9780981986951,['MKTG 455']
MILLER,CULTURAL ANTHRO.IN GLOBAL...(LOOSELEAF),9780205796724,['ANTH 114']
MILLER,CULTURAL ANTHROPOLOGY IN GLOBAL WORLD,9780205786367,['ANTH 114']
MILLER,DEATH OF A SALESMAN,9780140481341,['ENGH 201']
MILLER,END OF GREATNESS,9781137279002,['GOVT 308']
MILLER,LEGAL ENVIRONMENT TODAY,9781305075450,"['BULE 302', 'BULE 303']"
MILLER,MASTERS OF THE AIR,9780743235457,['HIST 378']
MILLER,MATHEMATICAL IDEAS >CUSTOM<,9781256719625,['MATH 106']
MILLER,MATHEMATICAL IDEAS-STUDENT SOLNS.MAN.,9780321693846,['MATH 106']
MILLER,NEEDLE'S EYE,9781558495456,['HIST 620']
MILLER,NURSING F/WELLNESS IN OLDER...-W/ACCESS,9781451190830,['HHS 432']
MILLER,ORGANIZATIONAL COMMUNICATION:APP.+PROC.,9781285164205,['COMM 335']
MILLER,POLITICAL PHILOSOPHY:VERY SHORT INTRO.,9780192803955,['GOVT 490']
MILLER,POWER+HOLY IN AGE OF INVESTURE,9780312404680,['HIST 304']
MILLER,THEORIES OF DEVEL.PSYCH.,9781429216340,['PSYC 313']
MILLER,VALIDATED PRACTICES FOR TEACHING STUD..,9780205567478,['EDSE 629']
MILLER,WOMEN IN EARLY CHRISTIANITY,9780813214177,"['HIST 388', 'RELI 376']"
MILLS,ACTION RESEARCH-TEXT,9780132887762,"['EDCI 559', 'EDCI 777']"
MILLS,SOCIOLOGICAL IMAGINATION (40TH ANNIV.),9780195133738,"['SOCI 412', 'SOCI 712']"
MILOSZ,CAPTIVE MIND (LARGE FORMAT),9780679728566,['PHIL 253']
MIMS,PATHWAYS TO PUBLIC RELATIONS: STD HNDK,9781942695028,"['COMM 204', 'COMM 330', 'COMM 331', 'COMM 388', 'COMM 389', 'COMM 391']"
MINDES,ASSESSING YOUNG CHILDREN-TEXT,9780133519235,['ECED 511']
MINEI,MPLS-ENABLED APPLICATIONS,9780470665459,['TCOM 611']
MINGST,ESSENTIAL READINGS IN WORLD POLITICS,9780393921960,['GOVT 322']
MINKER,AMERICAN FAMILY IN WORLD WAR II,9781595710819,['HIST 388']
MINKLER,COMMUNITY ORGANIZ.+COMM.BUILD.F/HEALTH,9780813553009,['SOCW 687']
MINTZ,SWEETNESS+POWER,9780140092332,['ANTH 536']
MISHKIN,"ECON.OF MONEY,BANKING,..-BUS.SCHOOL ED.",9780133859805,['ECON 310']
MISHKIN,"ECON.OF MONEY,BANKING,..-BUS-W/ACCESS",9780134047386,['ECON 310']
MISHKIN,"ECON.OF MONEY,BANKING+FINAN...(LOOSE)",9780133859829,['ECON 310']
MISHKIN,"ECON.OF MONEY,BANKING+FINANCIAL MARKETS",9780133836790,['ECON 310']
MISHKIN,ECON.OF MONEY...BUS.SCHOOL ED.(LL)-PKG.,9780134047416,['ECON 310']
MISHKIN,ECON.OF MONEY...-BUS.SCHOOL ED.(LOOSE),9780133859997,['ECON 310']
MITCHELL,CONTEMPORARY CONFLICT RESOLUTION READER,9780745686776,['CONF 340']
MITCHELL,HISTORY OF THE LATER ROMAN EMPIRE,9781118312421,['HIST 388']
MITCHELL,RIGHT TO THE CITY,9781572308473,['NCLC 361']
MITOPOULOS,UNDERSTANDING THE CRISIS IN  GREECE,9781137007964,['ECON 330']
MITSCH,ECOLOGICAL ENGINEERING+ECOSYSTEM REST.,9780471332640,"['BIOL 355', 'EVPP 355']"
MITTEN,SPORTS LAW GOVERNANCE+REG.COLLEGE ED.,9780735508644,['SPMT 614']
MOATS,SPEECH TO PRINT,9781598570502,['EDRD 515']
MOCHULSKY,GULAG BOSS,9780199934867,"['HIST 535', 'HIST 615', 'HIST 635']"
MOELLER,EXECUTIVE'S GUIDE TO IT GOVERNANCE,9781118138618,['MIS 411']
MOHNSEN,USING TECHNOLOGY IN PHYSICAL EDUCATION,9781893166899,['PHED 218']
MOHR,PSYCHIATRIC-MENTAL HEALTH NURSING,9781609137083,['NURS 468']
MOLLOY,EXPLORING BEAGLEBONE,9781118935125,['ECE 499']
MONSEN,RESEARCH:SUCCESSFUL APPROACHES,9780880914154,['NUTR 670']
MONTALVAN,UNTIL TUESDAY,9781401310752,['SOCW 678']
MONTGOMERY,APPLIED STATISTICS+PRO-ACCESS ONLY,9781118470688,['STAT 344']
MONTGOMERY,APPLIED STATISTICS+PROBABIL...-W/ACCESS,9781118865644,['STAT 344']
MONTGOMERY,APPLIED STATISTICS+PROBABIL.F/ENGINEERS,9781118539712,"['STAT 344', 'STAT 354']"
MONTGOMERY,STAT 344:APPLIED PROB&STAT...LL+WILYPLS,9781119079095,['STAT 354']
MOONEY,ALIGN THE DESIGN,9781416606253,['EDLE 616']
